Code,Technical definition ,Informal explanation ,KM suggestions ,Notes
ADVConj,A conjunction,"and, or, but","Words like ‘and,’ ‘or,’ and ‘but’ that link words, phrases, or clauses. ‘Miinwa’ and ‘gye’ are two common examples of coordinating words (coordinative adverbs) (Valentine 2001:996).",
ADVDeg,A degree adverb,"extremely, partially","Adverbs expressing degree like, ‘really,’ ‘only,’ and ‘extremely’ (Valentine 2001:145). ",
ADVDisc,A discourse marker,so,"Things like, ‘and,’ ‘so,’ or ‘then.’ For example, 
‘mii dash’ ‘and there’ (Valentine 2001:151). ",
ADVDub,A dubitative adverb,,"Dubitative adverbs express hesitation or uncertainty, like ‘evidentially’ or ‘it seems’ (Valentine 2001:830-831). ",
ADVGram,A grammatical adverb,,"Adverbs include time like ‘tomorrow’; location like ‘alongside’; manner like ‘barley’; circumstance like ‘on purpose,’ among other types (Valentine 2001:138-147).",
ADVInter,An interrogative adverb,,Adverbs used in questions like ‘na’ for ‘yes/no questions’ (Valentine 2001:146). ,
ADVLoc,An adverb of location,"here, there","Adverbs that express location or place like ‘here,’ ‘there,’ or ‘alongside’ (Valentine 2001:140).",
ADVMan,A manner adverb,"quickly, thoroughly",Adverbs that express manner like ‘quickly’ or ‘thoroughly’ (Valentine 2001:142).,
ADVNeg,A negative adverb,"ever, at all","Negative adverbs can be words with negative meanings like, ‘at all’ or ‘ever.’ The other kind makes something negative (negation like not) (Valentine 2001:145). ",
ADVPred,A predicative adverb,,Adverbs that connect more about the subject like ‘only later when’ (Valentine 2001:949). ,
ADVQnt,A quantifier,"some, all, most","Adverbs like ‘some,’ ‘all,’ ‘most,’ or ‘many’ (Valentine 2001:144).",
ADVTmp,A temporal adverb,"then, soon","Adverbs that express time such as ‘again,’ ‘today,’ ‘then,’ or ‘soon’ (Valentine 2001:140).",
DubPrt,Dubitative Preterit,preterit and dubitative: X has been completed and speaker doubts/needs to infer X,A way of conjugating verbs to express doubt or hesitation about something that has been finished in the past (Valentine 2001:798-799).,
Excl,First person plural exclusive,us ... not you,"First person plural excluding the listener (you), meaning we/us, not you.",
ExclObj,First person plural exclusive object,Y Xes us but not you,"The first person plural excluding the listener (you), meaning us, not you as the object. For example, “She called us (not you).”",
ExclPoss,First person plural exclusive possessive,ours ... not yours,"First person plural excluding the listener (you) possess something, like saying ‘ours, not yours.’",
ExclSubj,First person plural exclusive subject,Us but not you X,"We but not you do something. For example, “We (not you) are leaving tomorrow.”",
Incl,First person plural inclusive,us and you,"First person plural like ‘we’ or ‘us’ including the listener. Like, ‘we (including you)’ or ‘us (including you).’ ",
InclObj,First person plural inclusive object,Y Xes you and us,"The first person plural (includes you) is the object, like in “She sent this for us (including you).”  ",
InclPoss,First person plural inclusive possessive,ours and yours,"First person plural including the listener (you) possess something, like saying ‘ours’ and ‘yours.’",
InclSubj,First person plural inclusive subject,You and us X,"First person plural inclusive, ‘us (including you)’ are the subject. For example, “We (including you) are invited.” ",
Ind,Independent order,"used in statements, main clauses, default unmarked order","Verbal inflection used in statements, main clauses. The default unmarked order (verbal inflection). ",
LocDist,Distributed locative,around/among X,"A noun ending indicating location that could mean ‘around,’ ‘among,’ or ‘in.’ For example, “His daughters are playing in the sand” (Valentine 2001:746).",
NamePerson,Name of a person,,A person’s name. ,
NamePlace,Name of a place,,The name of a place like ‘Bemidji.’,
ObvPl,Obviative plural,"the other ones, third persons that are more in the background","Third persons plural (they, the other ones) that are backgrounded or defocused (obviated). ",
ObvSg,Obviative singular,"the other one, a third person that has been backgrounded","Third person (he, she, it) that is backgrounded or defocused (obviated). ",
PCAsp,Aspectual particle,,A word that marks a regularly repeated past event (Valentine 2001:791).,Just wanted to flag that I wasn't positive about this one…
PCDisc,Discourse particle,,A word used in discourse with meanings like ‘and then’ such as ‘mii’ (Valentine 2001:963). ,Just wanted to flag that I wasn't positive about this one…
PCEmph,Emphatic particle,,A word that emphasizes things like something unexpected or assertiveness (Valentine 2001:150). ,
PCInterj,Interjective particle,,"Words that indicate emotion including things like ‘hello,’ ‘yes,’ ‘no,’ look out!,’ and ‘come on!’ (Valentine 2001: 149). ",
PRONDem,Demonstrative pronoun,that/those,"A pronoun like ‘this,’ ‘that,’ or ‘those’ that points to a specific noun. It picks out its reference for the listener. ",
PRONDub,Dubitative pronoun,,Pronouns that express doubt about the noun they refer to like ‘whoever’ or ‘whatever’ in English. ,
PRONIndf,Indefinite pronoun,a/some,A pronoun that refers to a noun more generally like ‘a’ and ‘some’ without referencing a specific noun. ,
PRONInter,Interrogative pronoun,who,"Question words like ‘who,’ ‘what,’ and ‘which’ that refer to an unknown noun. ",
PRONPer,Personal pronoun,I/you/he/him,"Pronouns referring to people, animals, things like ‘I,’ ‘you,’ ‘s/he,’ ‘it,’ ‘they’ etc. ",
PRONPret,Preterite pronoun,,"Pronouns like ‘aweniban,’
‘s/he or one who is missing’ (Ojibwe Peoples Dictionary).  ",Flagging typo in the technical definition 
PRONSim,,,,I think this one was potentially an unused tag
PVTense/gii,Past tense,I walked,"Actions and events in the past like, “I walked” in English. ",
Pos,Positive,"X is true, X happened, default unmarked polarity",Something is true or happened. The default unmarked as opposed to the negative that must be marked. ,
Poss,Posessive theme,marks some possessed nouns,"“Theme” refers to inflection that signals relations between things. The possessive theme marks a noun as possessed by someone (person prefix). For example, ‘my boat’ (Valentine 2001:197).  ",Flagging typo in the technical definition 
Prb,Prohibitive,"don't do it! Appears in commands, equivalent of Imp Neg in Nishnaabemwin analyzers",Verb inflection used for negative commands like “Don’t do it!”,
